CLAS physics database search results
Measurement E30M1
G11A Run K+Lambda Data
M. McCracken, C. A. Meyer
2008

W	cos(theta_K+)	dsigma/dcos(theta K+)	Data errors
GeV	dimensionless	mcb	mcb
2.075	-0.5	0.1693	0.0103
2.075	-0.4	0.152	0.0092
2.075	-0.3	0.1546	0.0078
2.075	-0.2	0.2052	0.0121
2.075	-0.1	0.2754	0.0129
2.075	0	0.4337	0.0199
2.075	0.1	0.5396	0.0169
2.075	0.2	0.6346	0.0144
2.075	0.3	0.8198	0.0169
2.075	0.4	0.9999	0.0187
2.075	0.5	1.1919	0.0203
2.075	0.6	1.368	0.0217
2.075	0.7	1.5796	0.0249
2.075	0.8	1.7557	0.0305
2.075	0.89	1.8291	0.1011
2.085	-0.9	0.4705	0.1223
2.085	-0.8	0.4314	0.0415
2.085	-0.7	0.2979	0.0213
2.085	-0.6	0.246	0.0144
2.085	-0.5	0.1693	0.0131
2.085	-0.4	0.1575	0.0098
2.085	-0.3	0.1484	0.0135
2.085	-0.2	0.2082	0.0186
2.085	-0.1	0.2879	0.0214
2.085	0	0.4119	0.0276
2.085	0.1	0.4996	0.0169
